variant,network,round,fcp_ms,load_ms,transfer_kb
A มี code splitting,3G,1,1452,1381,209
A มี code splitting,3G,2,1476,1382,209
A มี code splitting,3G,3,1412,1372,209
A มี code splitting,3G,4,1456,1376,209
A มี code splitting,3G,5,1412,1368,209
A มี code splitting,4G,1,432,341,209
A มี code splitting,4G,2,392,345,209
A มี code splitting,4G,3,388,341,209
A มี code splitting,4G,4,388,347,209
A มี code splitting,4G,5,396,342,209
A มี code splitting,WiFi,1,144,103,209
A มี code splitting,WiFi,2,156,118,209
A มี code splitting,WiFi,3,160,119,209
A มี code splitting,WiFi,4,144,105,209
A มี code splitting,WiFi,5,152,111,209
B ไม่มี code splitting,3G,1,4528,4487,800
B ไม่มี code splitting,3G,2,4528,4489,800
B ไม่มี code splitting,3G,3,4528,4487,800
B ไม่มี code splitting,3G,4,4576,4493,800
B ไม่มี code splitting,3G,5,4556,4513,800
B ไม่มี code splitting,4G,1,1100,1058,800
B ไม่มี code splitting,4G,2,1196,1101,800
B ไม่มี code splitting,4G,3,1116,1072,800
B ไม่มี code splitting,4G,4,1128,1088,800
B ไม่มี code splitting,4G,5,1184,1144,800
B ไม่มี code splitting,WiFi,1,608,556,800
B ไม่มี code splitting,WiFi,2,556,511,800
B ไม่มี code splitting,WiFi,3,536,497,800
B ไม่มี code splitting,WiFi,4,536,493,800
B ไม่มี code splitting,WiFi,5,604,507,800